State,District,Crop,historical_records
Chhattisgarh,BILASPUR,Potato,31
Chhattisgarh,BILASPUR,Rapeseed &Mustard,20
Chhattisgarh,BILASPUR,Rice,20
Chhattisgarh,BILASPUR,Safflower,18
Chhattisgarh,BILASPUR,Sannhamp,19
Chhattisgarh,BILASPUR,Sesamum,20
Chhattisgarh,BILASPUR,Small millets,20
Chhattisgarh,BILASPUR,Soyabean,19
Chhattisgarh,BILASPUR,Sugarcane,20
Chhattisgarh,BILASPUR,Sunflower,16
Chhattisgarh,BILASPUR,Sweet potato,20
Chhattisgarh,BILASPUR,Turmeric,11
Chhattisgarh,BILASPUR,Urad,40
Chhattisgarh,BILASPUR,Wheat,20
Chhattisgarh,DANTEWADA,Arhar/Tur,20
Chhattisgarh,DANTEWADA,Bajra,20
Chhattisgarh,DANTEWADA,Castor seed,1
Chhattisgarh,DANTEWADA,Coriander,17
Chhattisgarh,DANTEWADA,Cotton(lint),4
Chhattisgarh,DANTEWADA,Dry chillies,20
Chhattisgarh,DANTEWADA,Garlic,4
Chhattisgarh,DANTEWADA,Ginger,17
Chhattisgarh,DANTEWADA,Gram,19
Chhattisgarh,DANTEWADA,Groundnut,14
Chhattisgarh,DANTEWADA,Horse-gram,34
Chhattisgarh,DANTEWADA,Jowar,20
Chhattisgarh,DANTEWADA,Maize,20
Chhattisgarh,DANTEWADA,Mesta,20
Chhattisgarh,DANTEWADA,Moong(Green Gram),40
Chhattisgarh,DANTEWADA,Niger seed,20
Chhattisgarh,DANTEWADA,Onion,2
Chhattisgarh,DANTEWADA,Other  Rabi pulses,14
Chhattisgarh,DANTEWADA,Other Kharif pulses,20
Chhattisgarh,DANTEWADA,Peas & beans (Pulses),8
Chhattisgarh,DANTEWADA,Potato,18
Chhattisgarh,DANTEWADA,Ragi,19
Chhattisgarh,DANTEWADA,Rapeseed &Mustard,20
Chhattisgarh,DANTEWADA,Rice,20
Chhattisgarh,DANTEWADA,Sannhamp,20
Chhattisgarh,DANTEWADA,Sesamum,20
Chhattisgarh,DANTEWADA,Small millets,20
Chhattisgarh,DANTEWADA,Soyabean,16
Chhattisgarh,DANTEWADA,Sugarcane,10
Chhattisgarh,DANTEWADA,Sunflower,8
Chhattisgarh,DANTEWADA,Sweet potato,18
Chhattisgarh,DANTEWADA,Tobacco,7
Chhattisgarh,DANTEWADA,Turmeric,19
Chhattisgarh,DANTEWADA,Urad,37
Chhattisgarh,DANTEWADA,Wheat,20
Chhattisgarh,DHAMTARI,Arhar/Tur,20
Chhattisgarh,DHAMTARI,Bajra,20
Chhattisgarh,DHAMTARI,Castor seed,9
Chhattisgarh,DHAMTARI,Coriander,20
Chhattisgarh,DHAMTARI,Dry chillies,20
Chhattisgarh,DHAMTARI,Garlic,14
Chhattisgarh,DHAMTARI,Ginger,12
Chhattisgarh,DHAMTARI,Gram,20
Chhattisgarh,DHAMTARI,Groundnut,20
Chhattisgarh,DHAMTARI,Horse-gram,35
Chhattisgarh,DHAMTARI,Jowar,17
Chhattisgarh,DHAMTARI,Khesari,20
Chhattisgarh,DHAMTARI,Linseed,19
Chhattisgarh,DHAMTARI,Maize,20
Chhattisgarh,DHAMTARI,Masoor,20
Chhattisgarh,DHAMTARI,Mesta,20
Chhattisgarh,DHAMTARI,Moong(Green Gram),40
Chhattisgarh,DHAMTARI,Niger seed,6
Chhattisgarh,DHAMTARI,Onion,20
Chhattisgarh,DHAMTARI,Other  Rabi pulses,20
Chhattisgarh,DHAMTARI,Other Kharif pulses,20
Chhattisgarh,DHAMTARI,Peas & beans (Pulses),20
Chhattisgarh,DHAMTARI,Potato,26
Chhattisgarh,DHAMTARI,Ragi,19
Chhattisgarh,DHAMTARI,Rapeseed &Mustard,20
Chhattisgarh,DHAMTARI,Rice,20
Chhattisgarh,DHAMTARI,Safflower,19
Chhattisgarh,DHAMTARI,Sannhamp,12
Chhattisgarh,DHAMTARI,Sesamum,20
Chhattisgarh,DHAMTARI,Small millets,20
Chhattisgarh,DHAMTARI,Soyabean,5
Chhattisgarh,DHAMTARI,Sugarcane,19
Chhattisgarh,DHAMTARI,Sunflower,15
Chhattisgarh,DHAMTARI,Sweet potato,19
Chhattisgarh,DHAMTARI,Turmeric,14
Chhattisgarh,DHAMTARI,Urad,40
Chhattisgarh,DHAMTARI,Wheat,20
Chhattisgarh,DURG,Arhar/Tur,20
Chhattisgarh,DURG,Bajra,24
Chhattisgarh,DURG,Barley,16
Chhattisgarh,DURG,Castor seed,12
Chhattisgarh,DURG,Coriander,20
Chhattisgarh,DURG,Cotton(lint),16
Chhattisgarh,DURG,Dry chillies,20
Chhattisgarh,DURG,Garlic,7
Chhattisgarh,DURG,Ginger,15
Chhattisgarh,DURG,Gram,20
Chhattisgarh,DURG,Groundnut,13
Chhattisgarh,DURG,Horse-gram,30
Chhattisgarh,DURG,Jowar,17
Chhattisgarh,DURG,Khesari,20
Chhattisgarh,DURG,Linseed,19
Chhattisgarh,DURG,Maize,20
Chhattisgarh,DURG,Masoor,20
Chhattisgarh,DURG,Mesta,11
Chhattisgarh,DURG,Moong(Green Gram),40
Chhattisgarh,DURG,Niger seed,2
Chhattisgarh,DURG,Onion,20
Chhattisgarh,DURG,Other  Rabi pulses,7
Chhattisgarh,DURG,Other Kharif pulses,11
Chhattisgarh,DURG,Peas & beans (Pulses),20
Chhattisgarh,DURG,Potato,18
Chhattisgarh,DURG,Ragi,9
Chhattisgarh,DURG,Rapeseed &Mustard,20
Chhattisgarh,DURG,Rice,20
Chhattisgarh,DURG,Safflower,20
Chhattisgarh,DURG,Sannhamp,15
Chhattisgarh,DURG,Sesamum,20
Chhattisgarh,DURG,Small millets,20
Chhattisgarh,DURG,Soyabean,20
Chhattisgarh,DURG,Sugarcane,20
Chhattisgarh,DURG,Sunflower,16
Chhattisgarh,DURG,Sweet potato,15
Chhattisgarh,DURG,Turmeric,13
Chhattisgarh,DURG,Urad,40
Chhattisgarh,DURG,Wheat,20
Chhattisgarh,GARIYABAND,Arhar/Tur,9
Chhattisgarh,GARIYABAND,Bajra,7
Chhattisgarh,GARIYABAND,Castor seed,3
Chhattisgarh,GARIYABAND,Coriander,9
Chhattisgarh,GARIYABAND,Cotton(lint),1
Chhattisgarh,GARIYABAND,Dry chillies,9
Chhattisgarh,GARIYABAND,Garlic,9
Chhattisgarh,GARIYABAND,Ginger,3
Chhattisgarh,GARIYABAND,Gram,9
Chhattisgarh,GARIYABAND,Groundnut,9
Chhattisgarh,GARIYABAND,Horse-gram,18
Chhattisgarh,GARIYABAND,Jowar,8
Chhattisgarh,GARIYABAND,Khesari,9
Chhattisgarh,GARIYABAND,Linseed,8
Chhattisgarh,GARIYABAND,Maize,9
Chhattisgarh,GARIYABAND,Masoor,9
Chhattisgarh,GARIYABAND,Mesta,5
Chhattisgarh,GARIYABAND,Moong(Green Gram),18
Chhattisgarh,GARIYABAND,Niger seed,2
Chhattisgarh,GARIYABAND,Onion,9
Chhattisgarh,GARIYABAND,Other  Rabi pulses,9
Chhattisgarh,GARIYABAND,Other Kharif pulses,9
Chhattisgarh,GARIYABAND,Peas & beans (Pulses),9
Chhattisgarh,GARIYABAND,Potato,18
Chhattisgarh,GARIYABAND,Ragi,9
Chhattisgarh,GARIYABAND,Rapeseed &Mustard,9
Chhattisgarh,GARIYABAND,Rice,9
Chhattisgarh,GARIYABAND,Sannhamp,6
Chhattisgarh,GARIYABAND,Sesamum,9
Chhattisgarh,GARIYABAND,Small millets,9
Chhattisgarh,GARIYABAND,Soyabean,1
Chhattisgarh,GARIYABAND,Sugarcane,8
Chhattisgarh,GARIYABAND,Sunflower,3
Chhattisgarh,GARIYABAND,Sweet potato,7
Chhattisgarh,GARIYABAND,Turmeric,6
Chhattisgarh,GARIYABAND,Urad,18
Chhattisgarh,GARIYABAND,Wheat,9
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Arhar/Tur,1
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Bajra,1
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Coriander,1
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Dry chillies,1
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Garlic,1
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Ginger,1
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Gram,1
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Groundnut,1
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Horse-gram,1
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Jowar,1
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Khesari,1
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Linseed,1
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Maize,1
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Masoor,1
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Moong(Green Gram),2
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Niger seed,1
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Onion,1
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Other  Rabi pulses,1
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Other Kharif pulses,1
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Peas & beans (Pulses),1
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Potato,1
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Rapeseed &Mustard,1
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Rice,1
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Safflower,1
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Sesamum,1
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Small millets,1
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Sweet potato,1
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Urad,2
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,Wheat,1
Chhattisgarh,JANJGIR-CHAMPA,Arhar/Tur,20
Chhattisgarh,JANJGIR-CHAMPA,Bajra,15
Chhattisgarh,JANJGIR-CHAMPA,Castor seed,19
Chhattisgarh,JANJGIR-CHAMPA,Coriander,18
Chhattisgarh,JANJGIR-CHAMPA,Dry chillies,20
Chhattisgarh,JANJGIR-CHAMPA,Garlic,20
Chhattisgarh,JANJGIR-CHAMPA,Ginger,20
Chhattisgarh,JANJGIR-CHAMPA,Gram,20
Chhattisgarh,JANJGIR-CHAMPA,Groundnut,20
Chhattisgarh,JANJGIR-CHAMPA,Horse-gram,37
Chhattisgarh,JANJGIR-CHAMPA,Jowar,4
Chhattisgarh,JANJGIR-CHAMPA,Khesari,20
Chhattisgarh,JANJGIR-CHAMPA,Linseed,19
Chhattisgarh,JANJGIR-CHAMPA,Maize,20
Chhattisgarh,JANJGIR-CHAMPA,Masoor,20
Chhattisgarh,JANJGIR-CHAMPA,Mesta,9
Chhattisgarh,JANJGIR-CHAMPA,Moong(Green Gram),40
Chhattisgarh,JANJGIR-CHAMPA,Niger seed,1
Chhattisgarh,JANJGIR-CHAMPA,Onion,20
Chhattisgarh,JANJGIR-CHAMPA,Other  Rabi pulses,18
Chhattisgarh,JANJGIR-CHAMPA,Other Kharif pulses,20
Chhattisgarh,JANJGIR-CHAMPA,Peas & beans (Pulses),20
Chhattisgarh,JANJGIR-CHAMPA,Potato,30
Chhattisgarh,JANJGIR-CHAMPA,Rapeseed &Mustard,20
Chhattisgarh,JANJGIR-CHAMPA,Rice,20
Chhattisgarh,JANJGIR-CHAMPA,Safflower,19
Chhattisgarh,JANJGIR-CHAMPA,Sannhamp,20
Chhattisgarh,JANJGIR-CHAMPA,Sesamum,20
Chhattisgarh,JANJGIR-CHAMPA,Small millets,18
Chhattisgarh,JANJGIR-CHAMPA,Soyabean,19
Chhattisgarh,JANJGIR-CHAMPA,Sugarcane,20
Chhattisgarh,JANJGIR-CHAMPA,Sunflower,16
Chhattisgarh,JANJGIR-CHAMPA,Sweet potato,20
Chhattisgarh,JANJGIR-CHAMPA,Turmeric,19
Chhattisgarh,JANJGIR-CHAMPA,Urad,40
Chhattisgarh,JANJGIR-CHAMPA,Wheat,20
Chhattisgarh,JASHPUR,Arhar/Tur,20
Chhattisgarh,JASHPUR,Bajra,40
Chhattisgarh,JASHPUR,Barley,16
Chhattisgarh,JASHPUR,Coriander,20
Chhattisgarh,JASHPUR,Dry chillies,20
Chhattisgarh,JASHPUR,Garlic,20
Chhattisgarh,JASHPUR,Ginger,20
Chhattisgarh,JASHPUR,Gram,20
Chhattisgarh,JASHPUR,Groundnut,20
Chhattisgarh,JASHPUR,Horse-gram,20
Chhattisgarh,JASHPUR,Jowar,20
Chhattisgarh,JASHPUR,Khesari,20
Chhattisgarh,JASHPUR,Linseed,19
Chhattisgarh,JASHPUR,Maize,20
Chhattisgarh,JASHPUR,Masoor,20
Chhattisgarh,JASHPUR,Mesta,18
Chhattisgarh,JASHPUR,Moong(Green Gram),27
Chhattisgarh,JASHPUR,Niger seed,20
Chhattisgarh,JASHPUR,Onion,20
Chhattisgarh,JASHPUR,Other  Rabi pulses,19
Chhattisgarh,JASHPUR,Other Kharif pulses,20
Chhattisgarh,JASHPUR,Peas & beans (Pulses),20
Chhattisgarh,JASHPUR,Potato,31
Chhattisgarh,JASHPUR,Ragi,19
Chhattisgarh,JASHPUR,Rapeseed &Mustard,20
Chhattisgarh,JASHPUR,Rice,20
Chhattisgarh,JASHPUR,Sannhamp,20
Chhattisgarh,JASHPUR,Sesamum,20
Chhattisgarh,JASHPUR,Small millets,20
Chhattisgarh,JASHPUR,Soyabean,15
Chhattisgarh,JASHPUR,Sugarcane,20
Chhattisgarh,JASHPUR,Sunflower,6
Chhattisgarh,JASHPUR,Sweet potato,20
Chhattisgarh,JASHPUR,Tobacco,8
Chhattisgarh,JASHPUR,Turmeric,20
Chhattisgarh,JASHPUR,Urad,20
Chhattisgarh,JASHPUR,Wheat,20
Chhattisgarh,KABIRDHAM,Arhar/Tur,20
Chhattisgarh,KABIRDHAM,Bajra,22
Chhattisgarh,KABIRDHAM,Castor seed,7
Chhattisgarh,KABIRDHAM,Coriander,19
Chhattisgarh,KABIRDHAM,Cotton(lint),2
Chhattisgarh,KABIRDHAM,Dry chillies,20
Chhattisgarh,KABIRDHAM,Garlic,2
Chhattisgarh,KABIRDHAM,Ginger,8
Chhattisgarh,KABIRDHAM,Gram,20
Chhattisgarh,KABIRDHAM,Groundnut,20
Chhattisgarh,KABIRDHAM,Horse-gram,10
Chhattisgarh,KABIRDHAM,Jowar,20
Chhattisgarh,KABIRDHAM,Khesari,20
Chhattisgarh,KABIRDHAM,Linseed,19
Chhattisgarh,KABIRDHAM,Maize,20
Chhattisgarh,KABIRDHAM,Masoor,20
Chhattisgarh,KABIRDHAM,Mesta,3
Chhattisgarh,KABIRDHAM,Moong(Green Gram),31
Chhattisgarh,KABIRDHAM,Niger seed,20
Chhattisgarh,KABIRDHAM,Onion,20
Chhattisgarh,KABIRDHAM,Other  Rabi pulses,16
Chhattisgarh,KABIRDHAM,Other Kharif pulses,13
Chhattisgarh,KABIRDHAM,Peas & beans (Pulses),20
Chhattisgarh,KABIRDHAM,Potato,28
Chhattisgarh,KABIRDHAM,Rapeseed &Mustard,20
Chhattisgarh,KABIRDHAM,Rice,20
Chhattisgarh,KABIRDHAM,Safflower,15
Chhattisgarh,KABIRDHAM,Sannhamp,3
Chhattisgarh,KABIRDHAM,Sesamum,20
Chhattisgarh,KABIRDHAM,Small millets,20
Chhattisgarh,KABIRDHAM,Soyabean,20
Chhattisgarh,KABIRDHAM,Sugarcane,20
Chhattisgarh,KABIRDHAM,Sunflower,9
Chhattisgarh,KABIRDHAM,Sweet potato,16
Chhattisgarh,KABIRDHAM,Turmeric,5
Chhattisgarh,KABIRDHAM,Urad,40
Chhattisgarh,KABIRDHAM,Wheat,20
Chhattisgarh,KANKER,Arhar/Tur,20
Chhattisgarh,KANKER,Bajra,20
Chhattisgarh,KANKER,Castor seed,1
Chhattisgarh,KANKER,Coriander,20
Chhattisgarh,KANKER,Cotton(lint),1
Chhattisgarh,KANKER,Dry chillies,20
Chhattisgarh,KANKER,Garlic,19
Chhattisgarh,KANKER,Ginger,20
Chhattisgarh,KANKER,Gram,20
Chhattisgarh,KANKER,Groundnut,11
Chhattisgarh,KANKER,Horse-gram,30
Chhattisgarh,KANKER,Jowar,20
Chhattisgarh,KANKER,Khesari,20
Chhattisgarh,KANKER,Linseed,19
Chhattisgarh,KANKER,Maize,20
Chhattisgarh,KANKER,Masoor,20
Chhattisgarh,KANKER,Mesta,11
Chhattisgarh,KANKER,Moong(Green Gram),40
Chhattisgarh,KANKER,Niger seed,20
Chhattisgarh,KANKER,Onion,20
Chhattisgarh,KANKER,Other  Rabi pulses,12
Chhattisgarh,KANKER,Other Kharif pulses,20
Chhattisgarh,KANKER,Peas & beans (Pulses),20
Chhattisgarh,KANKER,Potato,26
Chhattisgarh,KANKER,Ragi,19
Chhattisgarh,KANKER,Rapeseed &Mustard,20
Chhattisgarh,KANKER,Rice,20
Chhattisgarh,KANKER,Safflower,2
Chhattisgarh,KANKER,Sannhamp,20
Chhattisgarh,KANKER,Sesamum,20
Chhattisgarh,KANKER,Small millets,20
Chhattisgarh,KANKER,Soyabean,10
Chhattisgarh,KANKER,Sugarcane,12
Chhattisgarh,KANKER,Sunflower,20
Chhattisgarh,KANKER,Sweet potato,20
Chhattisgarh,KANKER,Turmeric,20
Chhattisgarh,KANKER,Urad,40
Chhattisgarh,KANKER,Wheat,20
Chhattisgarh,KONDAGAON,Arhar/Tur,9
Chhattisgarh,KONDAGAON,Bajra,9
Chhattisgarh,KONDAGAON,Coriander,9
Chhattisgarh,KONDAGAON,Cotton(lint),1
Chhattisgarh,KONDAGAON,Dry chillies,9
Chhattisgarh,KONDAGAON,Garlic,9
Chhattisgarh,KONDAGAON,Ginger,9
Chhattisgarh,KONDAGAON,Gram,9
Chhattisgarh,KONDAGAON,Groundnut,9
Chhattisgarh,KONDAGAON,Horse-gram,9
Chhattisgarh,KONDAGAON,Jowar,9
Chhattisgarh,KONDAGAON,Khesari,9
Chhattisgarh,KONDAGAON,Linseed,8
Chhattisgarh,KONDAGAON,Maize,9
Chhattisgarh,KONDAGAON,Masoor,2
Chhattisgarh,KONDAGAON,Mesta,8
Chhattisgarh,KONDAGAON,Moong(Green Gram),13
Chhattisgarh,KONDAGAON,Niger seed,9
Chhattisgarh,KONDAGAON,Onion,8
Chhattisgarh,KONDAGAON,Other  Rabi pulses,8
Chhattisgarh,KONDAGAON,Other Kharif pulses,9
Chhattisgarh,KONDAGAON,Peas & beans (Pulses),9
Chhattisgarh,KONDAGAON,Potato,18
Chhattisgarh,KONDAGAON,Ragi,9
Chhattisgarh,KONDAGAON,Rapeseed &Mustard,9
Chhattisgarh,KONDAGAON,Rice,9
Chhattisgarh,KONDAGAON,Sannhamp,9
Chhattisgarh,KONDAGAON,Sesamum,9
Chhattisgarh,KONDAGAON,Small millets,9
Chhattisgarh,KONDAGAON,Soyabean,1
Chhattisgarh,KONDAGAON,Sugarcane,9
Chhattisgarh,KONDAGAON,Sunflower,9
Chhattisgarh,KONDAGAON,Sweet potato,9
Chhattisgarh,KONDAGAON,Turmeric,9
Chhattisgarh,KONDAGAON,Urad,12
Chhattisgarh,KONDAGAON,Wheat,9
Chhattisgarh,KORBA,Arhar/Tur,20
Chhattisgarh,KORBA,Bajra,32
Chhattisgarh,KORBA,Barley,20
Chhattisgarh,KORBA,Coriander,16
Chhattisgarh,KORBA,Dry chillies,20
Chhattisgarh,KORBA,Garlic,20
Chhattisgarh,KORBA,Ginger,15
Chhattisgarh,KORBA,Gram,20
Chhattisgarh,KORBA,Groundnut,20
Chhattisgarh,KORBA,Horse-gram,20
Chhattisgarh,KORBA,Jowar,20
Chhattisgarh,KORBA,Khesari,20
Chhattisgarh,KORBA,Linseed,19
Chhattisgarh,KORBA,Maize,20
Chhattisgarh,KORBA,Masoor,20
Chhattisgarh,KORBA,Mesta,20
Chhattisgarh,KORBA,Moong(Green Gram),31
Chhattisgarh,KORBA,Niger seed,20
Chhattisgarh,KORBA,Onion,20
Chhattisgarh,KORBA,Other  Rabi pulses,20
Chhattisgarh,KORBA,Other Kharif pulses,20
Chhattisgarh,KORBA,Peas & beans (Pulses),20
Chhattisgarh,KORBA,Potato,26
Chhattisgarh,KORBA,Rapeseed &Mustard,20
Chhattisgarh,KORBA,Rice,20
Chhattisgarh,KORBA,Safflower,1
Chhattisgarh,KORBA,Sannhamp,17
Chhattisgarh,KORBA,Sesamum,20
Chhattisgarh,KORBA,Small millets,20
Chhattisgarh,KORBA,Soyabean,15
Chhattisgarh,KORBA,Sugarcane,11
Chhattisgarh,KORBA,Sunflower,10
Chhattisgarh,KORBA,Sweet potato,20
Chhattisgarh,KORBA,Turmeric,18
Chhattisgarh,KORBA,Urad,39
Chhattisgarh,KORBA,Wheat,20
Chhattisgarh,KOREA,Arhar/Tur,20
Chhattisgarh,KOREA,Bajra,4
Chhattisgarh,KOREA,Barley,20
Chhattisgarh,KOREA,Coriander,20
Chhattisgarh,KOREA,Dry chillies,20
Chhattisgarh,KOREA,Garlic,20
Chhattisgarh,KOREA,Ginger,20
Chhattisgarh,KOREA,Gram,20
Chhattisgarh,KOREA,Groundnut,20
Chhattisgarh,KOREA,Horse-gram,20
Chhattisgarh,KOREA,Jowar,20
Chhattisgarh,KOREA,Khesari,20
Chhattisgarh,KOREA,Linseed,19
Chhattisgarh,KOREA,Maize,20
Chhattisgarh,KOREA,Masoor,20
Chhattisgarh,KOREA,Mesta,20
Chhattisgarh,KOREA,Moong(Green Gram),25
Chhattisgarh,KOREA,Niger seed,20
Chhattisgarh,KOREA,Onion,20
Chhattisgarh,KOREA,Other  Rabi pulses,3
Chhattisgarh,KOREA,Other Kharif pulses,8
Chhattisgarh,KOREA,Peas & beans (Pulses),19
Chhattisgarh,KOREA,Potato,22
Chhattisgarh,KOREA,Ragi,9
Chhattisgarh,KOREA,Rapeseed &Mustard,20
Chhattisgarh,KOREA,Rice,20
Chhattisgarh,KOREA,Sannhamp,20
Chhattisgarh,KOREA,Sesamum,20
Chhattisgarh,KOREA,Small millets,20
Chhattisgarh,KOREA,Soyabean,17
Chhattisgarh,KOREA,Sugarcane,4
Chhattisgarh,KOREA,Sunflower,1
Chhattisgarh,KOREA,Sweet potato,20
Chhattisgarh,KOREA,Tobacco,3
Chhattisgarh,KOREA,Turmeric,20
Chhattisgarh,KOREA,Urad,20
Chhattisgarh,KOREA,Wheat,20
Chhattisgarh,MAHASAMUND,Arhar/Tur,20
Chhattisgarh,MAHASAMUND,Bajra,14
Chhattisgarh,MAHASAMUND,Barley,3
Chhattisgarh,MAHASAMUND,Coriander,20
Chhattisgarh,MAHASAMUND,Dry chillies,20
Chhattisgarh,MAHASAMUND,Garlic,18
Chhattisgarh,MAHASAMUND,Ginger,15
Chhattisgarh,MAHASAMUND,Gram,20
Chhattisgarh,MAHASAMUND,Groundnut,20
Chhattisgarh,MAHASAMUND,Horse-gram,34
Chhattisgarh,MAHASAMUND,Jowar,18
Chhattisgarh,MAHASAMUND,Khesari,20
Chhattisgarh,MAHASAMUND,Linseed,18
Chhattisgarh,MAHASAMUND,Maize,20
Chhattisgarh,MAHASAMUND,Masoor,17
Chhattisgarh,MAHASAMUND,Mesta,17
Chhattisgarh,MAHASAMUND,Moong(Green Gram),40
Chhattisgarh,MAHASAMUND,Niger seed,1
Chhattisgarh,MAHASAMUND,Onion,19
Chhattisgarh,MAHASAMUND,Other  Rabi pulses,18
Chhattisgarh,MAHASAMUND,Other Kharif pulses,20
Chhattisgarh,MAHASAMUND,Peas & beans (Pulses),20
Chhattisgarh,MAHASAMUND,Potato,22
Chhattisgarh,MAHASAMUND,Ragi,6
Chhattisgarh,MAHASAMUND,Rapeseed &Mustard,20
Chhattisgarh,MAHASAMUND,Rice,20
Chhattisgarh,MAHASAMUND,Safflower,2
Chhattisgarh,MAHASAMUND,Sannhamp,20
Chhattisgarh,MAHASAMUND,Sesamum,20
Chhattisgarh,MAHASAMUND,Small millets,20
Chhattisgarh,MAHASAMUND,Soyabean,13
Chhattisgarh,MAHASAMUND,Sugarcane,20
Chhattisgarh,MAHASAMUND,Sunflower,15
Chhattisgarh,MAHASAMUND,Sweet potato,15
Chhattisgarh,MAHASAMUND,Turmeric,18
Chhattisgarh,MAHASAMUND,Urad,38
Chhattisgarh,MAHASAMUND,Wheat,20
Chhattisgarh,MUNGELI,Arhar/Tur,9
Chhattisgarh,MUNGELI,Bajra,8
Chhattisgarh,MUNGELI,Castor seed,6
Chhattisgarh,MUNGELI,Coriander,9
Chhattisgarh,MUNGELI,Dry chillies,9
Chhattisgarh,MUNGELI,Garlic,4
Chhattisgarh,MUNGELI,Ginger,1
Chhattisgarh,MUNGELI,Gram,9
Chhattisgarh,MUNGELI,Groundnut,9
Chhattisgarh,MUNGELI,Jowar,9
Chhattisgarh,MUNGELI,Khesari,9
Chhattisgarh,MUNGELI,Linseed,8
Chhattisgarh,MUNGELI,Maize,9
Chhattisgarh,MUNGELI,Masoor,9
Chhattisgarh,MUNGELI,Moong(Green Gram),18
Chhattisgarh,MUNGELI,Onion,9
Chhattisgarh,MUNGELI,Other  Rabi pulses,8
Chhattisgarh,MUNGELI,Other Kharif pulses,9
Chhattisgarh,MUNGELI,Peas & beans (Pulses),9
Chhattisgarh,MUNGELI,Potato,9
Chhattisgarh,MUNGELI,Ragi,1
Chhattisgarh,MUNGELI,Rapeseed &Mustard,9
Chhattisgarh,MUNGELI,Rice,9
Chhattisgarh,MUNGELI,Safflower,9
Chhattisgarh,MUNGELI,Sesamum,9
Chhattisgarh,MUNGELI,Small millets,9
Chhattisgarh,MUNGELI,Soyabean,9
Chhattisgarh,MUNGELI,Sugarcane,9
Chhattisgarh,MUNGELI,Sunflower,1
Chhattisgarh,MUNGELI,Sweet potato,8
Chhattisgarh,MUNGELI,Turmeric,2
Chhattisgarh,MUNGELI,Urad,18
Chhattisgarh,MUNGELI,Wheat,9
Chhattisgarh,NARAYANPUR,Arhar/Tur,13
Chhattisgarh,NARAYANPUR,Bajra,13
Chhattisgarh,NARAYANPUR,Coriander,10
Chhattisgarh,NARAYANPUR,Dry chillies,13
Chhattisgarh,NARAYANPUR,Ginger,8
Chhattisgarh,NARAYANPUR,Gram,13
Chhattisgarh,NARAYANPUR,Horse-gram,14
Chhattisgarh,NARAYANPUR,Jowar,12
Chhattisgarh,NARAYANPUR,Khesari,6
Chhattisgarh,NARAYANPUR,Linseed,9
Chhattisgarh,NARAYANPUR,Maize,13
Chhattisgarh,NARAYANPUR,Masoor,2
Chhattisgarh,NARAYANPUR,Mesta,1
Chhattisgarh,NARAYANPUR,Moong(Green Gram),12
Chhattisgarh,NARAYANPUR,Niger seed,13
Chhattisgarh,NARAYANPUR,Onion,7
Chhattisgarh,NARAYANPUR,Other  Rabi pulses,1
Chhattisgarh,NARAYANPUR,Other Kharif pulses,12
Chhattisgarh,NARAYANPUR,Peas & beans (Pulses),13
Chhattisgarh,NARAYANPUR,Potato,7
Chhattisgarh,NARAYANPUR,Ragi,13
Chhattisgarh,NARAYANPUR,Rapeseed &Mustard,13
Chhattisgarh,NARAYANPUR,Rice,13
Chhattisgarh,NARAYANPUR,Sannhamp,1
Chhattisgarh,NARAYANPUR,Sesamum,13
Chhattisgarh,NARAYANPUR,Small millets,14
Chhattisgarh,NARAYANPUR,Sugarcane,12
Chhattisgarh,NARAYANPUR,Sweet potato,12
Chhattisgarh,NARAYANPUR,Turmeric,13
Chhattisgarh,NARAYANPUR,Urad,14
Chhattisgarh,NARAYANPUR,Wheat,13
Chhattisgarh,RAIGARH,Arhar/Tur,20
